Institución Padre,Dirección,Comuna,Región,Coordenadas Geográficas,Rubro de gasto,Periodo,Gasto
I MUNICIPALIDAD DE INDEPENDENCIA,,Independencia,Región Metropolitana de Santiago,"-33.4223596,-70.6550988","TINTAS EPSON 664 + RESMAS DE PAPEL, DIDECO,SOCIAL, MEMO 1089, ENTREGAR EN 2do PISO MUNICIPIO, C.ÁGIL2676-584-COT24, VFV",Junio/2024,226457
I MUNICIPALIDAD DE TALCAHUANO,DAEM TALCAHUANO TONGOY 220 HIGUERAS,Talcahuano,Región del Biobío ,"-36.71502995,-73.11464648527709","RESMAS PAPEL, LICEO B-22, TALCAHUANO",Junio/2024,750890
ILUSTRE MUNICIPALIDAD DE CHILLAN VIEJO,Juan Martínez de Rozas Nº797,Chillán Viejo,Región del Ñuble,"-36.62107315,-72.134018138704",RESMA PAPEL BODEGA,Junio/2024,6360122
CORP ADMINISTRATIVA DEL PODER JUDICIAL,,San Felipe,Región de Valparaíso ,"0,0",70 RESMAS DE PAPEL MUTIPROPOSITO.Orden de Compra generada por invitación a compra ágil: 682951-9-COT24,Junio/2024,265394
UNIVERSIDAD DE PLAYA ANCHA DE CIENCIAS DE LA EDUCACION,GRAN BRETAÑA Nº 40 PLAYA ANCHA,Valparaíso,Región de Valparaíso ,"-33.0313962,-71.6336972",SC 34206-34256-34424 (CPV) RESMAS PAPEL IMPRESIÓN TAMAÑO CARTA FACULTADES HUMANIDADES -CAMPUS SAN FELIPE - CIENCIAS DE LA SALUD ,Junio/2024,914735
I MUNICIPALIDAD DE CATEMU,Ignacio Carrera Pinto S/N ,Catemu,Región de Valparaíso ,"-32.7787138,-70.9630788","Orden de Compra: 4282-139-CM24 ""Adquisición de papel fotocopia Liceo (SEP)""",Julio/2024,1136569
I MUNICIPALIDAD DE COLTAUCO,"Departamento de Educación Municipal, Avenida Bernardo O’Higgins # 254",Coltauco,Región del Libertador General Bernardo O´Higgins,"-34.2878709,-71.0835889",Resmas papel oficio Y carta Escuela  G-80 Almendro,Julio/2024,996976
I MUNICIPALIDAD DE PROVIDENCIA,Pedro Valdivia N°963 ,Providencia,Región Metropolitana de Santiago,"-33.4322118,-70.609894",Adquisición de Papel Fotocopia Oficio para unidades municipales Julio-Agosto.,Julio/2024,4404785
I MUNICIPALIDAD DE SAN PABLO,,San Pablo,Región de los Lagos ,"-33.446576500000006,-70.74205082203748",PAPEL FOTOCOPIA PARA ESTABLECIMIENTOS EDUCACIONALES,Julio/2024,1605643
I MUNICIPALIDAD DE TIRUA,,Tirúa,Región del Biobío ,"-38.3442095,-73.4934201",Adq.Papel Fotocopia para DAEM fndo Subven2024,Julio/2024,370040
I MUNICIPALIDAD DE TOME,,Tomé,Región del Biobío ,"-36.617159,-72.958481","Compra de resmas de papel para el liceo Vicente Palacios, Tomé",Julio/2024,569712
I MUNICIPALIDAD DE YUMBEL,OHIGGINS N° 851 YUMBEL,Yumbel,Región del Biobío ,"-37.0978413,-72.561378",Resmas de papel oficio y carta para LGG,Julio/2024,1897931
I MUNICIPALIDAD PEDRO AGUIRRE CERDA,,Pedro Aguirre Cerda,Región Metropolitana de Santiago,"-33.4882382,-70.66398334128455",ADQUISICION DE RESMA DE PAPEL TAMAÑO CARTA / MAIS PPD / SOL. 752.,Julio/2024,88165
ILUSTRE MUNICIPALIDAD DE QUINTA NORMAL,"Av. Carrascal 4447, Quinta Normal",Quinta Normal,Región Metropolitana de Santiago,"-33.4220771,-70.6938233",PM 632 O/C N° 630 PAPEL FOTOCOPIA PARA LICENCIA DE CONDUCIR.,Julio/2024,2163836
SERVICIO AGRICOLA Y GANADERO,Bulnes 0309 piso 3,Punta Arenas,Región de Magallanes y de la Antártica,"-53.2949297,-70.36942178205214",ADQUISICIÓN RESMA PAPEL TAMAÑO OFICIO ,Julio/2024,265000
SERVICIO DE SALUD METROPOLITANA NORTE HOSPITAL SAN JOSE,,Independencia,Región Metropolitana de Santiago,"0,0","MENOR A 30 UTM. SE SOLICITA COD. 103-0095 PAPEL IMPRESION MULTIPROPOSITO A4 RS X500HJ., 1549-4834-COT24",Julio/2024,1976447
Hospital Villarrica,,Villarrica,Región de la Araucanía ,"-39.29529025,-72.21179948274484",1952-504-COT24 PAPEL IMPRESION HD 110 MM X 20 MT FOTO P/EX. ECOGR. - PAPEL REGISTRO P/DESFIBRILADOR NIHON KHODEN Z FOLD P-FQS50310 UD.,Julio/2024,1945793
I MUNICIPALIDAD DE CHILLAN,,Chillán,Región del Ñuble,"-36.60600385,-72.10426068496827",PAPEL FOTOCOPIA ,Julio/2024,155938
I MUNICIPALIDAD DE DONIHUE,,Doñihue,Región del Libertador General Bernardo O´Higgins,"-34.2265652,-70.96379143708843","Resmas de papel carta y oficio Escuela Lo Miranda, Orden de Compra generada por invitación a compra ágil: 4161-328-COT24",Julio/2024,703290
I MUNICIPALIDAD DE NINHUE,Arturo Prat 405,* ,Región del Ñuble,"-36.3926895,-72.39926491627112",PAPEL OFICIO-CARTA,Julio/2024,694662
I MUNICIPALIDAD DE TEMUCO,,Temuco,Región de la Araucanía ,"-38.7397933,-72.5909289",S374/SEP ADQ. DE RESMAS PAPEL PARA LICEO BICENTENARIO ORD N°64,Julio/2024,1939819
UNIVERSIDAD DE CHILE,,Santiago,Región Metropolitana de Santiago,"-33.443867,-70.6506654","Adquisición de papel para impresoras, según  cot., 5519-79-COT24.",Julio/2024,597999
UNIVERSIDAD DE CHILE,,Independencia,Región Metropolitana de Santiago,"-33.443867,-70.6506654",CML_ PAPEL FOTOCOPIA 1/2 CARTA RESMA 1000 HJ. P2 (STOCK)_5153-1452-COT24,Julio/2024,1832600
UNIVERSIDAD DE CHILE,,Independencia,Región Metropolitana de Santiago,"-33.443867,-70.6506654",CML_ PAPEL FOTOCOPIA 1/2 CARTA RESMA 1000 HJ. P1_5153-1451-COT24,Julio/2024,1882996
UNIVERSIDAD DE CHILE,,Independencia,Región Metropolitana de Santiago,"-33.443867,-70.6506654",CML_PAPEL DE IMPRESION BLANCO Y NEGRO REF-1216_5153-1045-COT24,Julio/2024,190400
Cámara de Diputados de Chile,Av. Argentina esq. Pedro Montt s/n° . Edif. Congreso Nacional,Valparaíso,Región de Valparaíso ,"-33.0478095,-71.60494215739004",Reposición papel de impresión,Agosto/2024,3131961
COMANDO DE APOYO A LA FUERZA,Orostegui 1650,Valdivia,Región de Los Ríos,"-39.8257969,-73.2320693",FOTOCOPIADO E IMPRESIÓN,Agosto/2024,9600000
Consultorio Miraflores,Miraflores 1369,Temuco,Región de la Araucanía ,"-3.4829888,-80.2233071",RC 595  PAPEL FOTOCOPIA CARTA,Agosto/2024,1199520
CORP ADMINISTRATIVA DEL PODER JUDICIAL,,San Antonio,Región de Valparaíso ,"0,0",Compra 023-2024 Resmas Papel OC generada por compra ágil: 682948-5-COT24,Agosto/2024,140122
CORP ADMINISTRATIVA DEL PODER JUDICIAL,"Edificio Plaza Poniente, Calle Uno Poniente N°1258, Piso 10",Talca,Región del Maule ,"0,0",COMPRA DE RESMAS DE PAPEL TAMAÑO OFICIO,Agosto/2024,1151325
CORP MUNICIPAL DE SERVICIOS Y DESARROLLO,,Maipú,Región Metropolitana de Santiago,"0,0",SC-50970/SEP/RESMAS TAMAÑO CARTA/LICEO JOSE IGNACIO ZENTENO/BOS,Agosto/2024,318920
DIRECCION DE ABASTECIMIENTO DE LA ARMADA,"PRAT 620, QUINTO PISO",Valparaíso,Región de Valparaíso ,"0,0",FOTOCOPIAS E IMPRESIONES MES DE JULIO AL 6 DE AGOSTO,Agosto/2024,708913
I MUNICIPALIDAD DE CABRERO,Las Delicias nº 355,Cabrero,Región del Biobío ,"-37.0381777,-72.40435503923746",Resmas de Oficio y carta OP Nº25,Agosto/2024,668364
I MUNICIPALIDAD DE CAUQUENES,,Cauquenes,Región del Maule ,"-35.9664532,-72.3152816",RESMAS E INSUMOS DE IMPRESIÓN,Agosto/2024,1952719
I MUNICIPALIDAD DE CHILLAN,"LOS BATALLONES 1573, CHILLAN, CESFAM ISABEL RIQUELME",Chillán,Región del Ñuble,"-36.60600385,-72.10426068496827",RESMAS DE CARTA Y OFICIO PARA CESFAM SOL DE ORIENTE,Agosto/2024,1997760
I MUNICIPALIDAD DE CURICO,,Curicó,Región del Maule ,"-34.98554105,-71.23854218545901",83375 RESMAS DE PAPEL CARTA Y OFICIO COLEGIO JAPÓN DE CURICÓ por invitación a compra ágil: 2440-1002-COT24,Agosto/2024,672469
I MUNICIPALIDAD DE LAGO RANCO,Calle Viña del Mar Nº345,Lago Ranco,Región de Los Ríos,"-40.32062645,-72.48012016715423",RESMA PAPEL TAMAÑO CARTA,Agosto/2024,661884
I MUNICIPALIDAD DE LAGO RANCO,Calle Viña del Mar Nº345,Lago Ranco,Región de Los Ríos,"-40.32062645,-72.48012016715423",RESMA PAPEL TAMAÑO OFICIO,Agosto/2024,669256
I MUNICIPALIDAD DE LEBU,RIOSECO 550,Lebu,Región del Biobío ,"-37.6109586,-73.6561279",Papel Fotocopia Escuela Arnoldo Ebensperger Richter,Agosto/2024,805868
I MUNICIPALIDAD DE LEBU,,Lebu,Región del Biobío ,"-37.6109586,-73.6561279",PAPEL FOTOCOPIA PARA ESC D-777,Agosto/2024,493850
I MUNICIPALIDAD DE LIMACHE,,Limache,Región de Valparaíso ,"-33.00074945,-71.26900073305762",Orden de Compra generada por invitación a compra ágil: 2211-910-COT24 PAPEL FOTOCOPIA SOL 340 DIDECO (RSH) ,Agosto/2024,127092
I MUNICIPALIDAD DE LIMACHE,,Limache,Región de Valparaíso ,"-33.00074945,-71.26900073305762",Sol. 354 Papel fotocopia Dideco,Agosto/2024,261354
I MUNICIPALIDAD DE LINARES,,Linares,Región del Maule ,"-35.5953791,-71.73159",ADQUSICION DE 30 CAJAS DE RESMAS TAMAÑO OFICIO PARA JARDINES INFANTILES VTF,Agosto/2024,615004
I MUNICIPALIDAD DE LOS ALAMOS DEPTO COMUNAL,Luis Saez Mora 509,* ,Región del Biobío ,"-37.6266115,-73.4609456",PAPEL FOTOCOPIA Y TINTAS ,Agosto/2024,1662430
I MUNICIPALIDAD DE PADRE LAS CASAS,Ramberga 760 ,Padre Las Casas,Región de la Araucanía ,"-38.77338615,-72.59711090989668",ADQ. PAPEL DE IMPRESION PARA EL DAEM (FDOS. SEP),Agosto/2024,765575
I MUNICIPALIDAD DE PERALILLO,,Peralillo,Región del Libertador General Bernardo O´Higgins,"-34.4783979,-71.478685",Orden de Compra generada por invitación a compra ágil: 3953-149-COT24 ADQUISICION RESMAS DE HOJAS DE PAPEL,Agosto/2024,1252118
I MUNICIPALIDAD DE QUINTA DE TILCOCO,Miguel Cuadra #224,Quinta de Tilcoco,Región del Libertador General Bernardo O´Higgins,"-34.3545415,-70.9646122",SERVICIOS DE IMPRESIONES Y FOTOCOPIAS COLEGIO VFC. SEP,Agosto/2024,217294
I MUNICIPALIDAD DE SALAMANCA,,Salamanca,Región de Coquimbo ,"-31.781005550000003,-70.96590110000001"," RESMAS PAPEL OFICIO,CARTA Y 15 PILAS 3V CR2032 CESFAM CHILLEPIN compra ágil: 3688-248-COT24",Agosto/2024,867510
I MUNICIPALIDAD DE SANTA MARIA," CALLE O´HIGGINS 843, SANTA MARIA",Algarrobo,Región de Valparaíso ,"-32.7483334,-70.6573003",ADQUISICIÓN DE RESMAS TAMAÑO OFICIO,Agosto/2024,264775
I MUNICIPALIDAD DE VICUNA,Chacabuco 502 ,Vicuña,Región de Coquimbo ,"-30.0335973,-70.7135638",ADQUISICION RESMAS DE PAPEL PARA ESCUELA DE PERALILLO (SEP),Agosto/2024,2254217
I MUNICIPALIDAD DE VILLARRICA,"General Urrutia N°375, DAEM",Villarrica,Región de la Araucanía ,"-39.2834528,-72.22640737221154","Adquisición de papel Fotocopia tamaño Oficio y Carta para el Liceo Politécnico Villarrica, Fondos SEP",Agosto/2024,963484
ILUSTRE MUNICIPALIDAD DE COLBUN,CALLE ADOLFO NOVOA 419,Colbún,Región del Maule ,"-35.6969121,-71.4017404",Resmas de papel para Depto. Educación y Escuela Néstor del Campo Arzola,Agosto/2024,993055
Ilustre Municipalidad de Lumaco,,Lumaco,Región de la Araucanía ,"-38.16528595,-72.90705579234537",Resmas de Hojas de Impresión CESFAM Lumaco,Agosto/2024,521651
ILUSTRE MUNICIPALIDAD DE MELIPILLA,,Melipilla,Región Metropolitana de Santiago,"-33.6856675,-71.2170676",ADQUISICIÓN DE PAPELERÍA PARA IMPRESIÓN compra ágil: 2674-777-COT24,Agosto/2024,721110
ILUSTRE MUNICIPALIDAD DE MOLINA ,YERBAS BUENAS 1389,Molina,Región del Maule ,"-35.1132184,-71.2800644","ORDEN DE COMPRA DESDE 2298-67-LE23 - SUMINISTRO PARA EL MANTENIMIENTO DE PERIFERICOS DE IMPRESION, PROVISIÓN DE INSUMOS Y SERVICIO DE IMPRESION Y FOTOCOPIADO MES JULIO",Agosto/2024,2128386
ILUSTRE MUNICIPALIDAD DE QUINTA NORMAL,,Quinta Normal,Región Metropolitana de Santiago,"-33.4220771,-70.6938233","SP 139. LICEO JUAN ANTONIO RÍOS: ADQUISICIÓN DE RESMAS DE PAPEL TAMAÑO CARTA Y OFICIO, ACCIÓN PME 2024. CTA. BANCARIA N° 9583262 SEP. O/C INT. 139",Agosto/2024,326655
Ilustre Municipalidad de Quirihue,Esmeralda	698,Quirihue,Región del Ñuble,"-36.282706399999995,-72.5396935462742",Resmas de papel,Agosto/2024,63700
ILUSTRE MUNICIPALIDAD DE RETIRO,,Retiro,Región del Maule ,"-36.057624,-71.7656583",RESMA TAMAÑO CARTA PARA ECONOMATO,Agosto/2024,1042083
Ilustre Municipalidad de Yerbas Buenas,Avda. Centenario 101,Yerbas Buenas,Región del Maule ,"-35.7477097,-71.5828535",SERVICIO DE IMPRESIÓN Y FOTOCOPIADO ESTABLECIMIENTOS Y DAEM,Agosto/2024,2286902
MINISTERIO PUBLICO,General Mackenna 1369 2º piso,Santiago Centro,Región Metropolitana de Santiago,"14.63783445,-90.51331443051151",RESMAS DE PAPEL,Agosto/2024,3268335
MUNICIPALIDAD DE CHOLCHOL,Pinto S/N,Chol Chol,Región de la Araucanía ,"-38.6024312,-72.848833",Resmas Oficio Departamento de Educacion,Agosto/2024,224850
MUNICIPALIDAD DE LOS ANDES,Avda. Chile 198,Los Andes,Región de Valparaíso ,"-3.5712608,-80.45911518406132",RESMAS DE PAPEL- LICEO MAX SALAS ORD. 151,Agosto/2024,1947078
MUNICIPALIDAD DE PEÑAFLOR,,Peñaflor,Región Metropolitana de Santiago,"-33.6077992,-70.90076096672388","E674  /  ADQUISICION DE RESMAS TAMAÑO CARTA, SOLICITADO POR ESCUELA ROSALINA PESCIO VARGAS.   //  Orden de Compra generada por invitación a compra ágil: 2733-294-COT24",Agosto/2024,325584
SERVICIO NACIONAL DE CAPACITACION Y EMPLEO,,Antofagasta,Región de Antofagasta ,"-33.4398105,-70.6550812",Resmas Papel Dirección Regional Antofagastal: 4712-47-COT24,Agosto/2024,190602
UNIVERSIDAD DE CHILE,Avda. Santa Rosa 11315,Santiago,Región Metropolitana de Santiago,"-33.443867,-70.6506654",Resmas de Papel,Agosto/2024,806106
UNIVERSIDAD DE TARAPACA,Jose Santos Leiva 070,Arica,Región de Arica y Parinacota,"-18.4901565,-70.2961677979052",Adquisición de papel fotocopia FACMED UTA,Agosto/2024,179300
CORP MUNICIPAL DE SERVICIOS Y DESARROLLO,Av. Pajaritos N° 2756 (Administración Central Codeduc),Maipú,Región Metropolitana de Santiago,"0,0",SC-50923/SEP/RESMAS TAMAÑO CARTA Y OFICIO/ESCUELA LAS AMERICAS/BOS,Agosto/2024,857788
I MUNICIPALIDAD DE CHIMBARONGO,JAVIERA CARRERA 511,Chimbarongo,Región del Libertador General Bernardo O´Higgins,"-34.70841905,-71.04118138529478",RESMAS CARTA Y OFICIO: 3730-647-CM24,Agosto/2024,4691456
I MUNICIPALIDAD DE CURICO,,Curicó,Región del Maule ,"-34.98554105,-71.23854218545901",82486  RESMA CARTA Y OFICIO ESCUELA REPÙBLICA ARGENTINA DE CURICÒ   por invitación a compra ágil: 2440-1086-COT24,Agosto/2024,671517
I MUNICIPALIDAD DE LONCOCHE,,Loncoche,Región de la Araucanía ,"-39.371356,-72.6306051","RESMAS DE PAPEL CARA Y OFICIO, ESCUELA ALBORADA",Agosto/2024,395675
I MUNICIPALIDAD DE RENAICO,,Renaico,Región de la Araucanía ,"-37.67150815,-72.58412355846157",ADQUISICIÓN DE PAPEL FOTOCOPIA PARA LICEO POLITÉCNICO D.S.M.,Agosto/2024,1260150
I MUNICIPALIDAD DE SAN NICOLAS,ARTURO PRAT 175,San Nicolás,Región del Ñuble,"-36.5031992,-72.2132577",RESMAS PARA FOTOCOPIAS DEL LICEO POLIVALENTE SAN NICOLÁS,Agosto/2024,1324768
I MUNICIPALIDAD ESTACION CENTRAL,,Estación Central,Región Metropolitana de Santiago,"-33.45433035,-70.68969016202331",S.M. 322 RESMAS OFICIO Y CARTA COLOR BLANCO 500 HOJAS   E-34 ESCUELA REPUBLICA DE AUSTRIA  compra ágil: 1195999-242-COT24,Agosto/2024,615230
I MUNICIPALIDAD PEDRO AGUIRRE CERDA,,Pedro Aguirre Cerda,Región Metropolitana de Santiago,"-33.4882382,-70.66398334128455",ADQUISICION DE RESMAS DE PAPEL SEGUN SE DETALLA / PROG MAIS / SOL. 1018.,Agosto/2024,151781
ILUSTRE MUNICIPALIDAD DE QUINTA NORMAL,"Av. Carrascal 4447, Quinta Normal",Quinta Normal,Región Metropolitana de Santiago,"-33.4220771,-70.6938233","SP 155. ESCUELA REINO DE NORUEGA: ADQUISICIÓN DE RESMAS DE PAPEL, ACCIÓN PME 2024. CTA. BANCARIA N° 9583262 SEP. O/C INT. 155",Agosto/2024,1343748
SUBSECRETARIA DE SALUD PUBLICA,San Joaquin 1801,La Serena,Región de Coquimbo ,"-33.4364407,-70.6468014","SERVICIO DE IMPRESION Y FOTOCOPIADO 36 MESES, SRMS4",Agosto/2024,78659
COMANDO DE APOYO A LA FUERZA,Avda. Baquedano Esq. Ejército sin número,Coyhaique,Región Aysén del General Carlos Ibáñez del Campo,"0,0",(F_PRESUP) ADQUISICIÓN DE RESMAS DE PAPEL PARA USO DE LAS UNIDADES DE LA GUARNICIÓN DE COYHAIQUE,Agosto/2024,1296178
CORP ADMINISTRATIVA DEL PODER JUDICIAL,,Chillán,Región del Ñuble,"0,0",RESMAS DE PAPEL TAMAÑO OFICIO MULTIPROPOSITO,Agosto/2024,895094
CORP MUNICIPAL DE SERVICIOS Y DESARROLLO,Av. Pajaritos N° 2756 (Administración Central Codeduc),Maipú,Región Metropolitana de Santiago,"0,0",SC-51059/SEP/RESMAS TAMAÑO CARTA Y OFICIO/LICEO MAIPU DE LAS ARTES Y LA TECNOLOGIA/BOS,Agosto/2024,909636
CORP MUNICIPAL DE SERVICIOS Y DESARROLLO,,Maipú,Región Metropolitana de Santiago,"0,0", SC-51182/SEP/RESMAS CARTA Y OFICIO/DIRECCION DE EDUCACION/BOS,Agosto/2024,198730
DELEGACIÓN PRESIDENCIAL REGIONAL DE LOS LAGOS,,Puerto Montt,Región de los Lagos ,"-42.4820754,-73.76553340612708",Adquisición resmas de papel tamaño oficio. Delegación Presidencial Regional.,Agosto/2024,218984
Hospital Santa Juana,Lautaro Nº 900,Santa Juana,Región del Biobío ,"38.995285,-1.8664506","Resma Carta, Oficio ",Agosto/2024,1428238
I MUNICIPALIDAD DE CONCON,SANTA LAURA   567,Concón,Región de Valparaíso ,"-32.9207636,-71.5155884",RESMAS PAPEL OFICO PARA ABASTECIMIENTO Orden de Compra: 2594-962-CM24,Agosto/2024,2543268
I MUNICIPALIDAD DE COPIAPO,"Acceso Sur N°425, Local A-1 Panamericana Sur",Copiapó,Región de Atacama ,"-27.3614606,-70.3289619",ADQUISICION RESMA DE PAPEL PARA LA SALA DE MULTICOPIADO,Agosto/2024,2304399
I MUNICIPALIDAD DE CORONEL,,Coronel,Región del Biobío ,"-37.0294737,-73.14622918699935",ESCUELA OCTAVIO SALINAS CARIAGA E -681 COMPRA DE RESMA DE CARTA Y OFICIO,Agosto/2024,1412768
I MUNICIPALIDAD DE CORONEL,,Coronel,Región del Biobío ,"-37.0294737,-73.14622918699935","Escuela ""Escuadrón"" 250 Resmas Carta y",Agosto/2024,1576810
I MUNICIPALIDAD DE CURICO,San Martín Nº 455,,,"-34.98554105,-71.23854218545901",84077 RESMAS DE PAPEL CARTA Y OFICIO ESCUELA ESPAÑA DE CURICÓ ,Agosto/2024,1686825
I MUNICIPALIDAD DE DONIHUE,,Doñihue,Región del Libertador General Bernardo O´Higgins,"-34.2265652,-70.96379143708843","Resmas papel fotocopia Colegio La Isla, Orden de Compra generada por invitación a compra ágil: 4161-409-COT24",Agosto/2024,701505
I MUNICIPALIDAD DE HUALQUI,,Hualqui,Región del Biobío ,"-36.97530075,-72.93833724820985",RESMA  CARTA Y OFICIO - ADM. Y FINANZAS,Agosto/2024,293287
I MUNICIPALIDAD DE LEBU,,Lebu,Región del Biobío ,"-37.6109586,-73.6561279",PAPEL FOTOCOPIA Y OTROS/ESC. PEHUEN,Agosto/2024,1041049
I MUNICIPALIDAD DE LONCOCHE,"Arturo Prat 590, segundo piso",Loncoche,Región de la Araucanía ,"-39.371356,-72.6306051","150 RESMAS CARTA Y 150 RESMAS OFICIO  EQUALIT,  ESCUELA ALBORADA",Agosto/2024,1133832
I MUNICIPALIDAD DE LOS ANGELES,CAUPOLICAN 399,Los Angeles,Región del Biobío ,"-37.47112635,-72.35064063866517",ADQUISICION DE RESMAS DE PAPEL PARA ESCUELA G-914 EL AMANECER DE DUQUECO,Agosto/2024,3395665
I MUNICIPALIDAD DE LOS ANGELES,CAUPOLICAN 399,Los Angeles,Región del Biobío ,"-37.47112635,-72.35064063866517",ADQUISICION DE RESMAS DE PAPEL PARA ALUMNOS ESCUELA F-887 ISLA DEL LAJA,Agosto/2024,4450552
I MUNICIPALIDAD DE PIRQUE,,Pirque,Región Metropolitana de Santiago,"-33.6347039,-70.5728392",Kit Set Tintas y Papel para impresora Selphy Cannon KP-108IN - 2719-387-COT24,Agosto/2024,499562
I MUNICIPALIDAD DE RENCA,"Jose Manuel Balmaceda 4020, Bodega Municipal",Renca,Región Metropolitana de Santiago,"-33.40444395,-70.70419786351897",Resmas Carta y Oficio para el correcto funcionamiento de los distintos departamentos municipales SP 466 - IDDOC 191866 2/2,Agosto/2024,3133579
I MUNICIPALIDAD DE SALAMANCA,Manuel Bulnes 599,Salamanca,Región de Coquimbo ,"-31.781005550000003,-70.96590110000001",RESMAS CARTAS Y OFICIO ,Agosto/2024,1262471
I MUNICIPALIDAD DE SANTA JUANA,Irarrazabal 135,Santa Juana,Región del Biobío ,"-37.1744663,-72.9367769",PAPEL FOTOCOPIA OFICINAS MUNICIPALES ,Agosto/2024,2514708
I MUNICIPALIDAD DE TALCA,DIRECCION COMUNAL DE EDUCACION MUNICIPAL 4 ORIENTE N°	1280 TALCA,,,"-35.4257615,-71.66543442233423",PAPEL IMPRESION ESCUELA VILLA CULENAR // SEP // Orden de Compra: 2294-1566-CM24,Agosto/2024,1232721
I MUNICIPALIDAD DE TALCA,DIRECCION COMUNAL DE EDUCACION MUNICIPAL 4 ORIENTE N°	1280 TALCA,Talca,Región del Maule ,"-35.4257615,-71.66543442233423",PAPEL IMPRESION UNIDAD DE ADQUISICIONES DAEM // SUBV. REGULAR // Orden de Compra: 2294-1576-CM24,Agosto/2024,828335
I MUNICIPALIDAD DE TEMUCO,Gral. Aldunate #51,Temuco,Región de la Araucanía ,"-38.7397933,-72.5909289","SCHC 309 Adquisición de (2134) resmas de papel Carta (periodo septiembre-Diciembre 2024), para Stock Bodega General  5061-877-CM24",Agosto/2024,6589899
I MUNICIPALIDAD DE TEMUCO,Gral. Aldunate #51,Temuco,Región de la Araucanía ,"-38.7397933,-72.5909289","SCHC 308 Adquisición de (1820 ) resmas de papel oficio (periodo septiembre-Diciembre 2024), para Stock Bodega General  5061-876-CM24",Agosto/2024,6584032
I MUNICIPALIDAD DE VICUNA,Chacabuco 502 ,Vicuña,Región de Coquimbo ,"-30.0335973,-70.7135638",ADQUISICION RESMAS DE PAPEL PARA ESCUELA DE PERALILLO (SEP),Agosto/2024,2863438
I MUNICIPALIDAD ESTACION CENTRAL,,Estación Central,Región Metropolitana de Santiago,"-33.45433035,-70.68969016202331",S.M. 298  PAPEL IMPRESIÓN RESMA CARTA Y OFICIO COLOR BLANCO  E-34 ESCUELA REPUBLICA DE AUSTRIA compra ágil: 1195999-259-COT24,Agosto/2024,342720
I MUNICIPALIDAD ESTACION CENTRAL,,Estación Central,Región Metropolitana de Santiago,"-33.45433035,-70.68969016202331",S.M. 407  RESMAS OFICIO Y CARTA  D-260  ESCUELA BÁSICA PROFESOR RAMÓN DEL RÍO compra ágil: 1195999-332-COT24,Agosto/2024,1059017
I MUNICIPALIDAD VALDIVIA,,Valdivia,Región de Los Ríos,"-39.812843099999995,-73.24694851875219","7, SP.97218 - SEP - ESCUELA ESPAÑA, ADQ. ADQ. PAPEL FOTOCOPIA TAMAÑO CARTA Y OFICIO.",Agosto/2024,1800470
Ilustre Municipalidad de Quirihue,Esmeralda	698,Quirihue,Región del Ñuble,"-36.282706399999995,-72.5396935462742",Resmas carta y oficio ,Agosto/2024,53500
MINISTERIO DE BIENES NACIONALES,"UNO ORIENTE 1150, PISO 3, TALCA",,,"-33.4432519,-70.64647013760111",Adquisición resma oficio y carta,Agosto/2024,1166676
MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF,"Bulnes 897, pisos 9 y 10",Temuco,Región de la Araucanía ,"0,0",ADRIAN ULLOA - SERV. FOTOCOPIAS Y IMPRESIONES,Agosto/2024,97899
MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF,,Concepción,Región del Biobío ,"0,0",Papel fotocopia,Agosto/2024,385013
MUNICIPALIDAD DE LOS ANDES,Avda. Chile 198,Los Andes,Región de Valparaíso ,"-3.5712608,-80.45911518406132",RESMAS PAPEL- ESCUELA I. CARRERA PINTO ORD. 145,Agosto/2024,1557662
SERVICIO DE SALUD HOSPITAL DE NANCAGUA,18 de Septiembre  464,Nancagua,Región del Libertador General Bernardo O´Higgins,"-34.649566899999996,-71.20439138911156",RESMAS PAPEL : 1624-184-CM24,Agosto/2024,1292661
SERVICIO LOCAL DE EDUCACION PÚBLICA DE ATACAMA,,Copiapó,Región de Atacama ,"0,0",MSA/PROGRAMA HABILIDADES PARA LA VIDA III COPIAPO/ RESMAS DE PAPEL/MEMORANDUM Nº103.,Agosto/2024,53621
UNIVERSIDAD DE CHILE,,Independencia,Región Metropolitana de Santiago,"-33.443867,-70.6506654",CML_PAPEL FOTOCOPIA 1/2 CARTA RESMA 1000 HJ.(STOCK P1)_5153-1668-COT24,Agosto/2024,1467330
UNIVERSIDAD DE VALPARAISO,"Serrano Nº 546, Sector Puerto",Viña del Mar,Región de Valparaíso ,"-33.04391915,-71.61711731823237",Concesión Fotocopiado e Impresión Fac. Hunamidades,Agosto/2024,1
CORP ADMINISTRATIVA DEL PODER JUDICIAL,,Melipilla,Región Metropolitana de Santiago,"0,0",Resmas oficio 731754-28-COT24,Agosto/2024,459816
CORP ADMINISTRATIVA DEL PODER JUDICIAL,"18 de Septiembre 246, piso 6, Edificio 18S",Chillán,Región del Ñuble,"0,0",Adquisición de papel oficio ,Agosto/2024,1600681
CORP MUNICIPAL DE SERVICIOS Y DESARROLLO,,Maipú,Región Metropolitana de Santiago,"0,0", SC-51134/SEP/RESMAS TAMAÑO OFICIO Y CARTA/DEPARTAMENTO DE PLANIFICACION Y GESTION/BOS,Agosto/2024,280602
